
Table,No.,ID,CenterX,CenterY,IntervalX,IntervalY,NumX,NumY,Start

ICTray,0,80,201.56,208.84,305.48,209.15,27,1,0
ICTray,1,81,201.65,219.69,305.8,220.33,27,1,0
ICTray,2,82,201.57,230.78,305.18,231.5,27,1,0
ICTray,3,84,201.66,253.59,305.04,254.47,27,1,0
ICTray,4,85,201.79,264.83,305.39,265.71,27,1,0
ICTray,5,86,201.66,275.88,305.14,276.55,27,1,0
ICTray,6,87,201.57,286.91,305.02,287.63,27,1,0
ICTray,7,88,201.72,298.15,305.86,298.94,27,1,0
ICTray,8,89,201.66,309.23,305.55,309.75,27,1,0
ICTray,9,92,201.22,343.21,304.73,343.96,27,1,0
ICTray,10,93,201.26,354.31,304.57,354.96,27,1,0
ICTray,11,94,201.16,365.39,304.87,366.21,27,1,0
ICTray,12,95,201.22,376.34,304.8,377.34,27,1,0
ICTray,13,96,200.86,387.99,304.55,388.49,27,1,0
ICTray,14,97,200.88,398.99,304.3,399.58,27,1,0
ICTray,15,98,200.95,410.08,304.23,410.7,27,1,0
ICTray,16,99,200.81,421.21,304.39,421.83,27,1,0
